index;Valor;forecast_manual;forecast
2013-05-04;26.0;;
2013-05-05;23.0;;
2013-05-06;42.0;;
2013-05-07;38.0;;
2013-05-08;39.0;;
2013-05-09;36.0;;
2013-05-10;35.0;;
2013-05-11;27.0;;
2013-05-12;20.0;;
2013-05-13;43.0;;
2013-05-14;40.0;;
2013-05-15;38.0;;
2013-05-16;39.0;;
2013-05-17;40.0;;
2013-05-18;29.0;;
2013-05-19;26.0;;
2013-05-20;60.0;;
2013-05-21;54.0;;
2013-05-22;41.0;;
2013-05-23;54.0;;
2013-05-24;63.0;;
2013-05-25;44.0;;
2013-05-26;28.0;;
2013-05-27;65.0;;
2013-05-28;59.0;;
2013-05-29;60.0;;
2013-05-30;106.0;;
2013-05-31;61.0;;
2013-06-01;32.0;;
2013-06-02;25.0;;
2013-06-03;57.0;;
2013-06-04;58.0;;
2013-06-05;59.0;;
2013-06-06;78.0;;
2013-06-07;64.0;;
2013-06-08;35.0;;
2013-06-09;32.0;;
2013-06-10;49.0;;
2013-06-11;62.0;;
2013-06-12;75.0;;
2013-06-13;53.0;;
2013-06-14;50.0;;
2013-06-15;33.0;;
2013-06-16;27.0;;
2013-06-17;55.0;;
2013-06-18;61.0;;
2013-06-19;59.0;;
2013-06-20;60.0;;
2013-06-21;76.0;;
2013-06-22;70.0;;
2013-06-23;44.0;;
2013-06-24;66.0;;
2013-06-25;81.0;;
2013-06-26;69.0;;
2013-06-27;67.0;;
2013-06-28;103.0;;
2013-06-29;63.0;;
2013-06-30;42.0;;
2013-07-01;86.0;;
2013-07-02;101.0;;
2013-07-03;85.0;;
2013-07-04;75.0;;
2013-07-05;78.0;;
2013-07-06;42.0;;
2013-07-07;39.0;;
2013-07-08;87.0;;
2013-07-09;79.0;;
2013-07-10;82.0;;
2013-07-11;78.0;;
2013-07-12;53.0;;
2013-07-13;37.0;;
2013-07-14;37.0;;
2013-07-15;86.0;;
2013-07-16;95.0;;
2013-07-17;85.0;;
2013-07-18;70.0;;
2013-07-19;77.0;;
2013-07-20;50.0;;
2013-07-21;86.0;;
2013-07-22;124.0;;
2013-07-23;107.0;;
2013-07-24;83.0;;
2013-07-25;68.0;;
2013-07-26;78.0;;
2013-07-27;41.0;;
2013-07-28;41.0;;
2013-07-29;84.0;;
2013-07-30;80.0;;
2013-07-31;89.0;;
2013-08-01;103.0;;
2013-08-02;74.0;;
2013-08-03;54.0;;
2013-08-04;38.0;;
2013-08-05;131.0;;
2013-08-06;120.0;;
2013-08-07;95.0;;
2013-08-08;126.0;;
2013-08-09;78.0;;
2013-08-10;56.0;;
2013-08-11;43.0;;
2013-08-12;96.0;;
2013-08-13;99.0;;
2013-08-14;99.0;;
2013-08-15;172.0;;
2013-08-16;178.0;;
2013-08-17;69.0;;
2013-08-18;53.0;;
2013-08-19;127.0;;
2013-08-20;147.0;;
2013-08-21;133.0;;
2013-08-22;125.0;;
2013-08-23;102.0;;
2013-08-24;58.0;;
2013-08-25;48.0;;
2013-08-26;108.0;;
2013-08-27;105.0;;
2013-08-28;100.0;;
2013-08-29;170.0;;
2013-08-30;120.0;;
2013-08-31;63.0;;
2013-09-01;54.0;;
2013-09-02;100.0;;
2013-09-03;130.0;;
2013-09-04;160.0;;
2013-09-05;248.0;;
2013-09-06;116.0;;
2013-09-07;66.0;;
2013-09-08;58.0;;
2013-09-09;146.0;;
2013-09-10;115.0;;
2013-09-11;113.0;;
2013-09-12;118.0;;
2013-09-13;142.0;;
2013-09-14;81.0;;
2013-09-15;91.0;;
2013-09-16;129.0;;
2013-09-17;185.0;;
2013-09-18;151.0;;
2013-09-19;139.0;;
2013-09-20;130.0;;
2013-09-21;72.0;;
2013-09-22;67.0;;
2013-09-23;116.0;;
2013-09-24;150.0;;
2013-09-25;149.0;;
2013-09-26;144.0;;
2013-09-27;142.0;;
2013-09-28;101.0;;
2013-09-29;73.0;;
2013-09-30;123.0;;
2013-10-01;196.0;;
2013-10-02;146.0;;
2013-10-03;129.0;;
2013-10-04;104.0;;
2013-10-05;65.0;;
2013-10-06;51.0;;
2013-10-07;142.0;;
2013-10-08;191.0;;
2013-10-09;174.0;;
2013-10-10;173.0;;
2013-10-11;189.0;;
2013-10-12;97.0;;
2013-10-13;112.0;;
2013-10-14;159.0;;
2013-10-15;178.0;;
2013-10-16;177.0;;
2013-10-17;184.0;;
2013-10-18;156.0;;
2013-10-19;84.0;;
2013-10-20;71.0;;
2013-10-21;156.0;;
2013-10-22;176.0;;
2013-10-23;166.0;;
2013-10-24;146.0;;
2013-10-25;121.0;;
2013-10-26;82.0;;
2013-10-27;86.0;;
2013-10-28;147.0;;
2013-10-29;167.0;;
2013-10-30;157.0;;
2013-10-31;142.0;;
2013-11-01;161.0;;
2013-11-02;103.0;;
2013-11-03;76.0;;
2013-11-04;156.0;;
2013-11-05;169.0;;
2013-11-06;170.0;;
2013-11-07;193.0;;
2013-11-08;120.0;;
2013-11-09;86.0;;
2013-11-10;93.0;;
2013-11-11;182.0;;
2013-11-12;135.0;;
2013-11-13;178.0;;
2013-11-14;165.0;;
2013-11-15;120.0;;
2013-11-16;80.0;;
2013-11-17;78.0;;
2013-11-18;155.0;;
2013-11-19;158.0;;
2013-11-20;149.0;;
2013-11-21;185.0;;
2013-11-22;129.0;;
2013-11-23;79.0;;
2013-11-24;127.0;;
2013-11-25;136.0;;
2013-11-26;198.0;;
2013-11-27;180.0;;
2013-11-28;184.0;;
2013-11-29;156.0;;
2013-11-30;112.0;118.10319763677757;
2013-12-01;87.0;118.23708772677885;
2013-12-02;168.0;158.225985767642;
2013-12-03;257.0;189.92394136039715;
2013-12-04;211.0;194.29464197166703;
2013-12-05;206.0;178.29198164606453;
2013-12-06;189.0;149.09565283510813;
2013-12-07;97.0;123.02488705795412;
2013-12-08;100.0;124.60015760921456;
2013-12-09;183.0;154.92346678387753;
2013-12-10;160.0;186.86910106279223;
2013-12-11;200.0;195.6235626258638;
2013-12-12;198.0;177.8542105568848;
2013-12-13;151.0;147.06043993170366;
2013-12-14;90.0;124.54383480633246;
2013-12-15;113.0;127.68645811388916;
2013-12-16;218.0;155.0049327339653;
2013-12-17;187.0;185.00533173666406;
2013-12-18;196.0;194.5018106419112;
2013-12-19;181.0;177.25639991833071;
2013-12-20;144.0;146.82560234951916;
2013-12-21;82.0;125.70614681087568;
2013-12-22;77.0;129.55646246165904;
2013-12-23;151.0;155.53398506001545;
2013-12-24;133.0;183.83290232078826;
2013-12-25;153.0;192.95774304816632;
2013-12-26;140.0;176.3854395544153;
2013-12-27;161.0;147.00954677210458;
2013-12-28;128.0;126.93893152981411;
2013-12-29;97.0;131.04390301735867;
2013-12-30;205.0;156.0228276068377;
2013-12-31;202.0;182.90364984435632;
2014-01-01;188.0;191.4325880721142;
2014-01-02;178.0;175.43426511128084;
2014-01-03;176.0;147.26130784965935;
2014-01-04;117.0;128.19634733483568;
2014-01-05;99.0;132.40220998069665;
2014-01-06;219.0;156.44460152022017;
2014-01-07;175.0;182.05340820142706;
2014-01-08;177.0;189.9832557439832;
2014-01-09;171.0;174.49697486330652;
2014-01-10;171.0;147.5159006557625;
2014-01-11;111.0;129.43003419110156;
2014-01-12;96.0;133.6904334723248;
2014-01-13;198.0;156.82159481911955;
2014-01-14;172.0;181.23828423890976;
2014-01-15;162.0;188.60377601220296;
2014-01-16;118.0;173.60127076899212;
2014-01-17;125.0;147.7675901529068;
2014-01-18;90.0;130.62240224703822;
2014-01-19;92.0;134.91962073165578;
2014-01-20;237.0;157.1667130223398;
2014-01-21;207.0;180.4492797869092;
2014-01-22;200.0;187.28606585605243;
2014-01-23;252.0;172.7517480548892;
2014-01-24;178.0;148.0178857378266;
2014-01-25;97.0;131.7698671050858;
2014-01-26;123.0;136.09235335958812;
2014-01-27;227.0;157.48523019787342;
2014-01-28;215.0;179.6849323797935;
2014-01-29;193.0;186.02543324741606;
2014-01-30;179.0;171.9471815762052;
2014-01-31;226.0;148.2675530847012;
2014-02-01;134.0;132.87302531632656;
2014-02-02;105.0;137.21059772623477;
2014-02-03;191.0;157.77956758638652;
2014-02-04;267.0;178.94480251239162;
2014-02-05;254.0;184.81891548450767;
2014-02-06;216.0;171.18536399337552;
2014-02-07;205.0;148.5165552307139;
2014-02-08;159.0;133.9333698942462;
2014-02-09;151.0;138.27655232009275;
2014-02-10;299.0;158.05133054257752;
2014-02-11;224.0;178.2284028280525;
2014-02-12;216.0;183.66415325754866;
2014-02-13;212.0;170.46410550578494;
2014-02-14;236.0;148.76456856214523;
2014-02-15;134.0;134.95248034989012;
2014-02-16;117.0;139.29249761716267;
2014-02-17;239.0;158.30190350844038;
2014-02-18;232.0;177.53515958883816;
2014-02-19;229.0;182.5589943795472;
2014-02-20;193.0;169.7813518966915;
2014-02-21;171.0;149.01121780148986;
2014-02-22;115.0;135.93188235356732;
2014-02-23;114.0;140.26067339072372;
2014-02-24;226.0;158.5325817960696;
2014-02-25;218.0;176.86446858820617;
2014-02-26;272.0;181.50138992594754;
2014-02-27;231.0;169.1351668522431;
2014-02-28;204.0;149.25614528065043;
2014-03-01;122.0;136.8730405803793;
2014-03-02;108.0;141.18323623303687;
2014-03-03;228.0;158.7445927439967;
2014-03-04;236.0;176.21572326397722;
2014-03-05;263.0;180.48937251302505;
2014-03-06;232.0;168.5237133003547;
2014-03-07;212.0;149.49902475873455;
2014-03-08;126.0;137.77736594134075;
2014-03-09;122.0;142.0622512526475;
2014-03-10;243.0;158.93909846172895;
2014-03-11;227.0;175.58832381408345;
2014-03-12;264.0;179.52105173948422;
2014-03-13;239.0;167.94524367090196;
2014-03-14;213.0;149.7395616160672;
2014-03-15;121.0;138.646220206692;
2014-03-16;119.0;142.89969360922518;
2014-03-17;209.0;159.11719770721282;
2014-03-18;213.0;174.98167961226858;
2014-03-19;192.0;178.5946118316126;
2014-03-20;124.0;167.39809435498245;
2014-03-21;149.0;149.9774907610248;
2014-03-22;129.0;139.4809184559921;
2014-03-23;119.0;143.69745205765335;
2014-03-24;214.0;159.27992852681956;
2014-03-25;236.0;174.39520986828768;
2014-03-26;;;218.65949893238297
2014-03-27;;;187.4709814184593
2014-03-28;;;154.25736429201066
2014-03-29;;;124.78097686059212
2014-03-30;;;142.45250904899675
2014-03-31;;;196.9220993548167
2014-04-01;;;233.74285989356835
2014-04-02;;;225.22883148700794
2014-04-03;;;187.78148825157533
2014-04-04;;;146.80133590647614
2014-04-05;;;127.62096553515462
2014-04-06;;;148.11409474272324
2014-04-07;;;195.5659397444599
2014-04-08;;;230.72068216543843
2014-04-09;;;225.94776297523288
2014-04-10;;;187.62554937133743
2014-04-11;;;144.99250360970962
2014-04-12;;;128.48960869717519
2014-04-13;;;150.84755978633632
2014-04-14;;;196.07174163435315
2014-04-15;;;229.28799563007573
2014-04-16;;;224.87128784507576
2014-04-17;;;186.94048071473955
2014-04-18;;;144.59629211285534
2014-04-19;;;129.38263443990158
2014-04-20;;;152.58122079325145
2014-04-21;;;196.7854013173474
2014-04-22;;;228.4364125677567
2014-04-23;;;223.48581609478327
2014-04-24;;;185.97566611005712
